Washington,2004,May,1
Louisiana,2009,March,4
Georgia,2012,July,5
Virginia,2006,April,2
Kentucky,2008,March,1
Louisiana,2005,January,2
Nevada,2005,March,3
Louisiana,2006,September,5
Nebraska,2012,January,1
Indiana,2004,November,1
Iowa,2008,March,1
Kansas,2013,April,4
Missouri,2014,February,1
Georgia,2005,January,4
Ohio,2007,September,5
Connecticut,2008,May,2
Idaho,2004,February,1
Arizona,2006,June,7
Washington,2011,April,3
New Mexico,2005,January,2
Indiana,2008,June,2
Louisiana,2006,April,3
Wyoming,2014,September,1
Colorado,2012,September,1
Illinois,2012,September,3
Delaware,2012,June,1
Michigan,2008,September,8
Georgia,2009,October,2
Florida,2014,January,13
Iowa,2006,July,2
Ohio,2011,May,1
Iowa,2006,June,1
West Virginia,2006,November,1
Wisconsin,2007,March,1
Maryland,2007,November,6
District of Columbia,2005,April,1
Oklahoma,2005,January,3
Wisconsin,2010,October,1
Oklahoma,2006,March,2
Tennessee,2008,May,4
Washington,2010,June,2
Nebraska,2009,February,1
Montana,2005,August,1
Washington,2007,September,2
Michigan,2013,May,3
Connecticut,2010,September,1
Pennsylvania,2012,December,8
South Carolina,2008,November,1
Maryland,2005,March,5
Delaware,2013,January,1
Connecticut,2009,December,1
North Carolina,2004,March,2
Mississippi,2010,June,1
Massachusetts,2013,March,1
Texas,2012,May,9
Pennsylvania,2010,June,6
New Hampshire,2010,December,1
Pennsylvania,2006,January,4
Louisiana,2014,September,3
Pennsylvania,2005,December,6
Indiana,2012,September,2
Texas,2008,February,9
Nebraska,2013,December,1
Georgia,2004,October,5
Minnesota,2008,January,2
Mississippi,2004,February,2
New York,2008,November,5
California,2005,September,24
Nevada,2012,March,1
Maryland,2011,October,2
Arizona,2010,May,1
Nevada,2011,September,3
New Jersey,2011,April,5
Texas,2006,September,12
Massachusetts,2014,March,1
Maryland,2012,April,5
Oklahoma,2013,February,3
Tennessee,2013,April,5
Georgia,2014,December,4
Michigan,2014,March,1
Idaho,2005,December,1
Idaho,2008,December,1
Washington,2009,February,3
Massachusetts,2004,May,3
Arkansas,2011,December,2
Kentucky,2012,September,3
Ohio,2011,September,5
Indiana,2008,November,3
Rhodes Island,2012,June,2
Wisconsin,2007,December,4
Mississippi,2008,May,1
Texas,2006,August,10
Georgia,2005,April,4
Arkansas,2014,October,4
California,2007,December,21
Nevada,2011,January,1
Virginia,2004,February,6
Connecticut,2008,September,2
Connecticut,2009,July,3
North Carolina,2013,April,2
Florida,2014,June,7
Connecticut,2014,June,1
Minnesota,2009,June,2
Kentucky,2013,November,3
Georgia,2012,June,4
South Carolina,2013,January,2
Mississippi,2005,November,2
Oregon,2011,November,3
Maryland,2006,December,7
Idaho,2007,June,1
Oregon,2010,October,1
Illinois,2009,February,1
Louisiana,2006,August,6
Ohio,2013,June,2
Minnesota,2008,October,1
Oregon,2004,August,1
Arizona,2013,March,1
Michigan,2014,September,8
Tennessee,2006,March,8
South Carolina,2011,September,1
New York,2008,August,10
North Carolina,2008,March,5
Missouri,2011,June,5
Wisconsin,2006,June,1
Nevada,2014,April,5
Texas,2006,May,10
Idaho,2007,May,1
Mississippi,2010,July,1
Arkansas,2008,December,2
North Dakota,2004,June,1
District of Columbia,2007,April,3
Florida,2009,April,14
Montana,2005,April,1
Georgia,2013,September,4
Kansas,2012,March,2
Maryland,2011,March,2
Missouri,2008,October,4
Indiana,2008,August,5
Tennessee,2006,February,1
South Carolina,2013,July,2
Nevada,2006,July,1
Massachusetts,2008,April,4
Ohio,2007,January,3
Connecticut,2008,June,2
California,2011,January,21
Minnesota,2013,September,1
Pennsylvania,2013,December,1
Kansas,2011,October,2
California,2014,June,13
Minnesota,2007,April,2
Wisconsin,2006,July,2
Virginia,2008,September,2
Virginia,2014,October,1
Missouri,2013,March,3
Utah,2005,October,1
Tennessee,2010,September,7
Alabama,2009,June,1
Kansas,2012,July,1
Arizona,2006,July,8
Montana,2009,March,2
Louisiana,2004,February,2
Ohio,2005,November,8
Arkansas,2013,September,1
Arizona,2014,May,2
Arizona,2005,August,2
Arizona,2011,June,4
Michigan,2005,November,4
Maryland,2012,July,5
Ohio,2007,May,2
Tennessee,2013,July,2
Wisconsin,2011,June,1
Pennsylvania,2007,March,7
Oklahoma,2007,January,3
Rhodes Island,2012,January,2
Florida,2006,September,9
Kentucky,2010,January,4
South Carolina,2010,May,5
Washington,2004,September,1
Louisiana,2008,January,6
Mississippi,2006,April,3
Maryland,2011,August,3
Indiana,2013,June,5
New Jersey,2009,November,7
Alabama,2005,January,5
North Carolina,2014,June,2
South Dakota,2004,March,1
Nevada,2010,May,1
Florida,2012,February,8
Georgia,2006,May,2
Tennessee,2006,January,3
South Carolina,2013,February,3
Arkansas,2007,November,1
New Jersey,2009,December,3
District of Columbia,2005,May,1
Indiana,2004,August,3
Washington,2011,November,1
Kansas,2010,June,1
Illinois,2007,April,3
Maryland,2005,February,4
Arizona,2009,June,4
Alaska,2012,October,1
Oregon,2009,July,3
Indiana,2013,September,2
District of Columbia,2005,July,3
Kentucky,2005,June,2
Indiana,2008,September,2
Maryland,2013,February,2
Louisiana,2014,November,3
Kentucky,2007,March,1
Colorado,2005,October,2
Colorado,2009,October,2
Arizona,2011,March,4
California,2014,January,21
Florida,2007,February,9
Georgia,2006,January,5
Virginia,2004,April,3
Florida,2014,December,13
Kansas,2012,December,3
California,2007,February,16
Tennessee,2007,February,3
District of Columbia,2014,February,2
Missouri,2004,May,6
Arkansas,2014,December,2
California,2010,August,19
Nevada,2006,August,2
Louisiana,2012,November,2
New Jersey,2010,January,6
Washington,2013,March,3
Wisconsin,2008,March,1
Colorado,2012,December,1
Indiana,2012,February,6
New Jersey,2005,February,3
Pennsylvania,2010,September,5
Pennsylvania,2013,May,4
