Missouri,2006,Blunt Object,2
Arkansas,2006,Fire,1
New Jersey,2009,Unknown,1
Georgia,2011,Knife,5
Missouri,2005,Strangulation,1
North Dakota,2011,Firearm,1
Connecticut,2012,Handgun,3
New York,2010,Knife,16
Michigan,2006,Rifle,5
Massachusetts,2014,Firearm,5
Washington,2007,Shotgun,1
North Carolina,2010,Knife,5
Ohio,2014,Strangulation,1
Louisiana,2013,Unknown,2
New York,2012,Suffocation,1
New Mexico,2012,Blunt Object,1
New York,2013,Shotgun,2
Massachusetts,2013,Knife,2
Indiana,2009,Firearm,8
Colorado,2009,Blunt Object,4
Louisiana,2007,Knife,6
North Carolina,2011,Drugs,1
Florida,2010,Rifle,3
Virginia,2009,Knife,5
California,2005,Knife,30
Texas,2005,Unknown,6
Pennsylvania,2006,Firearm,4
Maryland,2013,Drugs,1
North Carolina,2008,Gun,2
Alaska,2012,Firearm,1
Connecticut,2005,Fire,1
Idaho,2010,Handgun,1
Pennsylvania,2008,Rifle,1
Oklahoma,2007,Knife,6
Minnesota,2012,Knife,2
District of Columbia,2013,Blunt Object,1
Tennessee,2012,Firearm,2
New Mexico,2004,Handgun,8
Illinois,2014,Handgun,48
Kentucky,2004,Knife,5
Arkansas,2013,Handgun,6
Kansas,2004,Unknown,2
Oklahoma,2012,Blunt Object,3
Washington,2010,Handgun,8
Arkansas,2013,Suffocation,1
South Carolina,2004,Unknown,1
Rhodes Island,2012,Handgun,1
New Mexico,2013,Knife,2
Louisiana,2011,Unknown,3
Maryland,2014,Knife,9
New York,2007,Blunt Object,8
Kansas,2004,Firearm,1
Ohio,2008,Drugs,1
Pennsylvania,2006,Strangulation,1
Delaware,2009,Firearm,3
Washington,2008,Gun,1
Pennsylvania,2004,Knife,7
Kansas,2004,Handgun,3
Tennessee,2012,Unknown,6
Texas,2004,Blunt Object,25
Virginia,2005,Shotgun,2
Indiana,2007,Firearm,2
Alaska,2006,Knife,1
Ohio,2006,Shotgun,1
Massachusetts,2005,Handgun,3
West Virginia,2004,Handgun,1
Wisconsin,2013,Rifle,2
California,2005,Drowning,2
Michigan,2009,Shotgun,1
Louisiana,2008,Firearm,2
Louisiana,2009,Knife,8
Florida,2008,Drugs,1
Arizona,2013,Knife,6
Connecticut,2007,Knife,2
Indiana,2009,Handgun,13
New Jersey,2006,Strangulation,2
Washington,2013,Handgun,8
Pennsylvania,2007,Blunt Object,9
West Virginia,2011,Rifle,2
Missouri,2012,Drowning,1
Florida,2005,Knife,10
New York,2012,Knife,6
Georgia,2008,Rifle,2
Tennessee,2010,Knife,2
Massachusetts,2014,Unknown,1
Pennsylvania,2014,Drugs,1
Kentucky,2012,Unknown,1
Mississippi,2008,Rifle,1
New Jersey,2007,Handgun,22
Minnesota,2014,Blunt Object,3
Michigan,2014,Shotgun,1
Pennsylvania,2014,Blunt Object,4
West Virginia,2007,Rifle,1
Pennsylvania,2008,Blunt Object,7
Texas,2006,Rifle,4
Texas,2005,Gun,2
Idaho,2005,Shotgun,1
Kansas,2008,Firearm,2
California,2013,Suffocation,4
Texas,2010,Suffocation,1
Arkansas,2006,Suffocation,1
Virginia,2008,Drugs,1
Pennsylvania,2013,Unknown,4
California,2014,Drowning,2
Georgia,2004,Shotgun,2
South Carolina,2006,Suffocation,1
Texas,2012,Gun,1
Missouri,2005,Knife,6
Missouri,2011,Handgun,12
Washington,2007,Rifle,2
Missouri,2008,Drugs,1
Arizona,2004,Blunt Object,9
Michigan,2006,Shotgun,2
Texas,2010,Unknown,4
Arizona,2009,Rifle,2
Missouri,2009,Unknown,4
