Tennessee,2009,51-60,3
North Carolina,2008,above 90,8
Wisconsin,2006,0-10,4
Texas,2010,31-40,23
Tennessee,2008,11-20,9
District of Columbia,2010,21-30,3
Michigan,2014,above 90,6
North Carolina,2011,21-30,13
Louisiana,2011,51-60,1
Ohio,2007,above 90,6
Colorado,2010,11-20,2
Nebraska,2013,21-30,5
New York,2009,above 90,5
Utah,2014,above 90,2
Louisiana,2014,21-30,24
Georgia,2006,41-50,6
New Mexico,2006,21-30,6
Pennsylvania,2005,41-50,6
Georgia,2006,0-10,2
Minnesota,2004,41-50,2
Colorado,2007,11-20,3
Florida,2012,51-60,13
Arizona,2006,31-40,10
Massachusetts,2012,11-20,1
Louisiana,2006,above 90,1
Maryland,2007,above 90,4
New Mexico,2010,11-20,2
Nevada,2012,81-90,1
California,2004,61-70,6
California,2007,11-20,52
Alabama,2010,51-60,6
Wyoming,2007,11-20,1
District of Columbia,2011,11-20,2
Montana,2004,71-80,1
Ohio,2008,21-30,17
Tennessee,2013,11-20,4
Wyoming,2009,above 90,1
South Carolina,2011,11-20,6
Louisiana,2006,51-60,2
Maryland,2006,0-10,1
New Hampshire,2014,0-10,1
Utah,2011,41-50,1
Arizona,2013,31-40,1
District of Columbia,2014,21-30,3
North Carolina,2004,21-30,12
Pennsylvania,2010,11-20,13
Maryland,2013,21-30,19
Alabama,2004,51-60,4
North Dakota,2011,11-20,1
Georgia,2005,21-30,19
Indiana,2011,31-40,3
Michigan,2007,61-70,2
Virginia,2011,31-40,8
Tennessee,2010,51-60,7
Vermont,2009,0-10,1
Nebraska,2009,21-30,1
North Carolina,2004,31-40,7
Arizona,2007,21-30,12
Connecticut,2010,above 90,1
California,2011,11-20,31
North Carolina,2006,61-70,2
Illinois,2010,41-50,3
Texas,2005,31-40,26
Utah,2012,51-60,1
Minnesota,2012,11-20,1
Florida,2009,71-80,1
Vermont,2004,61-70,1
Arkansas,2006,0-10,3
Connecticut,2014,21-30,4
California,2012,71-80,7
Missouri,2005,11-20,9
California,2010,31-40,34
Arkansas,2010,51-60,1
Oregon,2008,above 90,1
Montana,2012,41-50,1
Missouri,2011,11-20,5
Delaware,2006,31-40,1
Colorado,2008,21-30,3
Virginia,2013,0-10,1
Louisiana,2014,above 90,5
California,2013,51-60,15
Oregon,2005,0-10,1
Florida,2006,41-50,17
Rhodes Island,2005,81-90,1
Tennessee,2014,above 90,9
Hawaii,2013,0-10,1
Connecticut,2012,51-60,1
Indiana,2011,51-60,3
Georgia,2009,51-60,5
Missouri,2008,71-80,1
Nevada,2009,81-90,1
Kansas,2007,41-50,1
Ohio,2006,31-40,9
New York,2005,0-10,5
Washington,2005,21-30,9
Michigan,2004,71-80,4
Illinois,2006,61-70,1
South Carolina,2006,0-10,3
Louisiana,2007,51-60,4
Colorado,2014,above 90,1
New York,2005,41-50,11
Iowa,2008,21-30,2
Minnesota,2008,0-10,1
New Mexico,2006,41-50,2
Tennessee,2004,31-40,7
New Mexico,2013,61-70,1
California,2012,51-60,26
Maine,2010,31-40,1
Ohio,2005,11-20,6
Alabama,2006,51-60,1
Arizona,2013,21-30,8
Oklahoma,2013,71-80,1
Oregon,2009,11-20,1
Delaware,2006,11-20,2
Hawaii,2012,0-10,1
Florida,2011,above 90,12
North Carolina,2006,41-50,10
Arizona,2006,51-60,2
Kansas,2009,21-30,3
Minnesota,2008,41-50,1
Missouri,2010,31-40,3
Kentucky,2006,11-20,2
Connecticut,2008,above 90,4
Illinois,2009,51-60,1
Florida,2013,81-90,2
Ohio,2006,above 90,7
New Jersey,2012,0-10,2
Arkansas,2010,71-80,1
Texas,2014,71-80,1
Nevada,2011,above 90,1
Pennsylvania,2012,11-20,14
Arkansas,2009,51-60,7
Wisconsin,2011,21-30,4
Colorado,2012,31-40,2
Hawaii,2013,31-40,1
Kansas,2008,51-60,1
Texas,2014,81-90,2
Oklahoma,2010,11-20,3
Missouri,2012,21-30,17
Pennsylvania,2010,0-10,2
Michigan,2014,61-70,2
Arkansas,2009,21-30,5
Maine,2007,21-30,1
West Virginia,2013,above 90,1
Connecticut,2013,0-10,1
Pennsylvania,2011,31-40,8
Indiana,2012,41-50,5
South Dakota,2004,51-60,1
Missouri,2009,above 90,3
Louisiana,2004,above 90,5
Massachusetts,2005,11-20,2
Vermont,2006,21-30,1
Michigan,2013,71-80,2
New Mexico,2005,21-30,4
Nevada,2007,11-20,6
Washington,2009,above 90,3
New Jersey,2006,81-90,1
Mississippi,2014,21-30,9
Missouri,2013,41-50,6
Texas,2014,61-70,6
Florida,2012,71-80,6
Indiana,2013,21-30,8
New Hampshire,2011,21-30,1
Texas,2009,81-90,1
Montana,2009,51-60,1
Louisiana,2004,41-50,6
New Mexico,2006,above 90,1
Texas,2013,21-30,33
Texas,2009,11-20,17
North Carolina,2005,21-30,19
Washington,2008,11-20,3
Minnesota,2010,31-40,1
Minnesota,2012,0-10,2
South Carolina,2012,51-60,1
South Carolina,2013,above 90,3
Louisiana,2012,11-20,10
Oregon,2007,21-30,1
Massachusetts,2012,41-50,2
Iowa,2008,0-10,1
Alabama,2009,71-80,2
Utah,2007,21-30,2
South Carolina,2008,61-70,1
Illinois,2006,41-50,1
Colorado,2013,above 90,3
Missouri,2007,21-30,4
Tennessee,2013,41-50,5
Illinois,2006,31-40,6
Arizona,2011,51-60,6
Michigan,2012,31-40,9
Arkansas,2012,61-70,1
Oregon,2008,21-30,1
Oklahoma,2004,0-10,2
Ohio,2009,above 90,3
Pennsylvania,2006,21-30,31
New Mexico,2009,21-30,6
Illinois,2014,51-60,3
Alaska,2004,11-20,1
Michigan,2004,61-70,2
Arizona,2005,11-20,9
Oregon,2013,61-70,1
Maryland,2006,21-30,26
Oklahoma,2004,11-20,1
New Mexico,2012,21-30,3
Texas,2004,0-10,5
Texas,2006,31-40,24
North Carolina,2007,21-30,16
North Carolina,2010,31-40,8
Delaware,2004,11-20,1
West Virginia,2007,51-60,1
North Carolina,2004,41-50,8
New York,2012,81-90,2
Virginia,2013,31-40,2
Arizona,2010,71-80,1
Rhodes Island,2007,31-40,1
New Jersey,2013,0-10,1
Illinois,2005,11-20,9
Indiana,2008,21-30,10
New Jersey,2013,41-50,2
