New York,2009,71-80,1
Washington,2011,41-50,1
Missouri,2008,41-50,2
West Virginia,2008,51-60,2
Massachusetts,2011,above 90,7
Florida,2006,81-90,1
Maryland,2010,21-30,7
Louisiana,2010,11-20,8
Ohio,2008,41-50,6
West Virginia,2012,21-30,2
Alaska,2009,11-20,3
Florida,2004,11-20,10
Pennsylvania,2012,31-40,6
New Mexico,2007,51-60,1
New York,2005,11-20,10
Indiana,2010,61-70,1
Pennsylvania,2012,11-20,6
Oregon,2014,31-40,2
Alaska,2008,51-60,1
North Carolina,2010,31-40,8
Louisiana,2005,41-50,1
Pennsylvania,2005,31-40,3
Washington,2008,31-40,2
North Dakota,2008,21-30,2
North Carolina,2004,31-40,9
Kansas,2010,21-30,4
Ohio,2006,41-50,2
Alaska,2013,21-30,2
New Jersey,2008,41-50,2
New Jersey,2004,21-30,9
Louisiana,2009,51-60,1
South Carolina,2009,31-40,3
Pennsylvania,2006,21-30,21
Kentucky,2004,51-60,1
Louisiana,2005,above 90,17
Ohio,2007,41-50,3
Washington,2007,21-30,4
California,2012,71-80,1
Texas,2013,61-70,4
Tennessee,2014,61-70,2
Georgia,2013,41-50,5
Washington,2004,31-40,1
California,2005,21-30,74
South Dakota,2012,21-30,1
North Carolina,2007,51-60,1
Kansas,2004,21-30,3
Kansas,2006,21-30,3
Missouri,2012,11-20,4
Michigan,2007,51-60,3
Georgia,2007,above 90,32
Idaho,2014,21-30,1
Vermont,2004,41-50,1
Connecticut,2004,31-40,1
Maine,2013,11-20,1
Texas,2013,11-20,14
Texas,2012,21-30,27
Tennessee,2010,31-40,8
Indiana,2007,31-40,1
Wisconsin,2004,31-40,4
Florida,2011,0-10,1
Illinois,2010,21-30,10
Oklahoma,2006,21-30,6
South Carolina,2005,31-40,4
Tennessee,2013,21-30,14
Oregon,2011,above 90,1
New Jersey,2011,41-50,4
Indiana,2014,11-20,2
Tennessee,2004,11-20,5
Ohio,2006,31-40,5
Illinois,2004,31-40,5
Virginia,2005,61-70,1
Utah,2007,above 90,2
