New Mexico,2004,Male,19,White,Unknown,Male,18,White
Texas,2004,Female,21,White,Not Hispanic,Male,27,White
Michigan,2004,Female,17,Black,Unknown,Unknown,0,Unknown
Missouri,2004,Male,41,White,Unknown,Unknown,0,Unknown
California,2004,Male,50,White,Not Hispanic,Unknown,0,Unknown
Nevada,2004,Male,70,White,Unknown,Male,27,White
Pennsylvania,2004,Male,42,Black,Not Hispanic,Unknown,0,Unknown
New Jersey,2004,Male,34,Black,Unknown,Male,34,White
Michigan,2004,Male,53,Black,Unknown,Male,49,Black
Kentucky,2004,Female,29,White,Unknown,Male,36,White
Alabama,2004,Female,56,Black,Unknown,Male,52,Black
Ohio,2004,Female,49,White,Unknown,Male,63,Black
Michigan,2004,Male,43,Black,Unknown,Unknown,0,Unknown
Maryland,2004,Male,24,Black,Unknown,Unknown,0,Unknown
Virginia,2004,Male,21,Black,Unknown,Male,34,Black
Oregon,2004,Male,28,Black,Not Hispanic,Male,29,White
Michigan,2004,Male,33,Black,Unknown,Male,22,Black
Nevada,2004,Male,24,White,Unknown,Unknown,0,Unknown
New York,2004,Male,47,White,Unknown,Male,76,White
North Carolina,2004,Male,21,Black,Unknown,Male,24,Black
California,2004,Female,1,White,Hispanic,Unknown,0,Unknown
Mississippi,2004,Male,32,Black,Unknown,Male,36,Black
Texas,2004,Male,26,White,Not Hispanic,Male,22,White
New Mexico,2004,Female,26,White,Unknown,Male,48,White
District of Columbia,2004,Male,21,Black,Not Hispanic,Male,0,Black
California,2004,Female,81,Asian/Pacific Islander,Not Hispanic,Male,49,Asian/Pacific Islander
New York,2004,Male,20,Black,Unknown,Male,0,Black
Connecticut,2004,Male,22,Black,Unknown,Male,21,Black
Maryland,2004,Male,35,Black,Unknown,Female,28,Black
Virginia,2004,Male,18,Black,Unknown,Male,18,Black
Indiana,2004,Male,66,White,Unknown,Male,39,White
Missouri,2004,Male,26,White,Unknown,Unknown,0,Unknown
Pennsylvania,2004,Female,51,Black,Not Hispanic,Male,27,White
California,2004,Male,7,Black,Not Hispanic,Male,57,Black
California,2004,Male,61,Unknown,Unknown,Male,19,Black
Nevada,2004,Male,28,Black,Unknown,Male,30,Black
Texas,2004,Male,5,White,Hispanic,Male,23,White
Minnesota,2004,Male,20,Black,Unknown,Male,22,Black
Florida,2004,Female,59,White,Unknown,Male,69,White
Georgia,2004,Female,31,White,Hispanic,Male,41,White
Tennessee,2004,Male,74,Black,Unknown,Male,19,Black
New Jersey,2004,Male,30,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,4,Black,Not Hispanic,Male,21,Black
California,2004,Male,21,Black,Not Hispanic,Male,26,Black
New Mexico,2004,Male,16,Black,Unknown,Male,19,Black
Maryland,2004,Female,28,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,18,White,Unknown,Unknown,0,Unknown
Arizona,2004,Male,29,White,Hispanic,Male,24,White
South Carolina,2004,Male,19,Black,Unknown,Male,23,Black
Virginia,2004,Female,60,Black,Unknown,Male,30,Black
Texas,2004,Female,15,White,Hispanic,Male,16,White
Pennsylvania,2004,Female,54,Black,Not Hispanic,Male,0,Black
Colorado,2004,Male,1,White,Unknown,Male,20,Black
Ohio,2004,Male,17,Black,Unknown,Unknown,0,Unknown
Florida,2004,Male,31,Black,Unknown,Unknown,0,Unknown
Alaska,2004,Female,0,Native American/Alaska Native,Unknown,Male,43,Native American/Alaska Native
California,2004,Male,18,White,Hispanic,Unknown,0,Unknown
Illinois,2004,Male,23,Black,Unknown,Unknown,0,Unknown
Michigan,2004,Male,40,Black,Unknown,Male,22,Black
California,2004,Male,19,Black,Not Hispanic,Unknown,0,Unknown
Arizona,2004,Male,0,White,Not Hispanic,Male,23,White
Florida,2004,Female,22,White,Unknown,Male,29,Black
Florida,2004,Female,82,White,Unknown,Male,0,White
New York,2004,Male,22,Black,Unknown,Female,22,Black
Georgia,2004,Male,36,Black,Not Hispanic,Unknown,0,Unknown
California,2004,Male,32,Asian/Pacific Islander,Not Hispanic,Unknown,0,Unknown
California,2004,Male,37,Black,Not Hispanic,Unknown,0,Unknown
Texas,2004,Male,99,Black,Not Hispanic,Male,35,White
Texas,2004,Female,32,White,Unknown,Male,42,White
Iowa,2004,Male,18,White,Unknown,Male,24,Native American/Alaska Native
Arizona,2004,Male,39,White,Not Hispanic,Male,45,White
South Carolina,2004,Male,32,Black,Unknown,Male,17,Black
Louisiana,2004,Male,29,Black,Unknown,Unknown,0,Unknown
Indiana,2004,Female,35,Black,Unknown,Male,44,White
Minnesota,2004,Male,34,White,Unknown,Male,34,White
California,2004,Male,22,Black,Not Hispanic,Male,20,Black
North Carolina,2004,Male,34,White,Unknown,Male,20,White
California,2004,Female,22,White,Not Hispanic,Male,22,Black
Alabama,2004,Male,19,White,Unknown,Male,33,White
Minnesota,2004,Male,17,Black,Unknown,Unknown,0,Unknown
Virginia,2004,Female,99,White,Unknown,Female,28,White
Texas,2004,Male,46,Black,Not Hispanic,Female,25,Black
Arizona,2004,Male,24,White,Hispanic,Unknown,0,Unknown
Colorado,2004,Male,19,White,Unknown,Unknown,0,Unknown
Oklahoma,2004,Male,25,Native American/Alaska Native,Not Hispanic,Unknown,0,Unknown
California,2004,Male,35,Asian/Pacific Islander,Not Hispanic,Unknown,0,Unknown
Kentucky,2004,Male,66,White,Unknown,Female,44,White
South Carolina,2004,Male,20,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,31,Black,Not Hispanic,Male,14,Black
District of Columbia,2004,Male,21,Black,Not Hispanic,Unknown,0,Unknown
Louisiana,2004,Male,38,White,Unknown,Male,36,White
Colorado,2004,Male,22,White,Unknown,Male,18,White
Missouri,2004,Male,45,Black,Not Hispanic,Male,23,Black
Michigan,2004,Male,24,Black,Unknown,Unknown,0,Unknown
Ohio,2004,Male,20,Black,Unknown,Unknown,0,Unknown
Arizona,2004,Male,38,White,Not Hispanic,Male,38,White
California,2004,Male,18,White,Hispanic,Male,21,White
Colorado,2004,Male,23,White,Unknown,Male,39,White
Louisiana,2004,Male,31,Black,Unknown,Unknown,0,Unknown
Maryland,2004,Female,21,Black,Unknown,Unknown,0,Unknown
Ohio,2004,Male,33,White,Unknown,Female,32,White
Texas,2004,Male,31,White,Hispanic,Unknown,0,Unknown
Georgia,2004,Male,28,Black,Not Hispanic,Male,22,Black
Oregon,2004,Female,20,White,Unknown,Male,20,White
Ohio,2004,Male,29,White,Unknown,Unknown,0,Unknown
California,2004,Male,31,White,Hispanic,Male,50,White
California,2004,Male,31,Asian/Pacific Islander,Not Hispanic,Male,24,Asian/Pacific Islander
Arkansas,2004,Male,99,Unknown,Unknown,Male,26,Black
Michigan,2004,Male,20,Black,Unknown,Male,17,Black
Florida,2004,Male,1,Black,Unknown,Female,26,Black
Arizona,2004,Male,30,White,Not Hispanic,Unknown,0,Unknown
California,2004,Female,70,Black,Not Hispanic,Female,69,Black
District of Columbia,2004,Male,28,Black,Not Hispanic,Unknown,0,Unknown
Texas,2004,Male,58,Black,Not Hispanic,Male,65,Black
Kentucky,2004,Male,18,White,Unknown,Unknown,0,Unknown
Florida,2004,Male,43,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,21,Black,Not Hispanic,Unknown,0,Unknown
California,2004,Male,16,Black,Not Hispanic,Male,20,Black
Montana,2004,Female,22,White,Unknown,Male,26,White
Indiana,2004,Male,23,Black,Unknown,Male,26,Black
Maryland,2004,Male,43,White,Unknown,Unknown,0,Unknown
Nevada,2004,Female,40,White,Unknown,Male,33,White
Louisiana,2004,Male,21,Black,Unknown,Unknown,0,Unknown
Florida,2004,Male,24,Black,Unknown,Unknown,0,Unknown
Florida,2004,Female,22,Black,Unknown,Male,28,Black
Missouri,2004,Female,42,White,Not Hispanic,Male,22,White
Virginia,2004,Male,19,Black,Unknown,Male,19,Black
Kansas,2004,Male,99,White,Unknown,Male,24,White
Tennessee,2004,Male,46,White,Unknown,Male,43,White
