Georgia,2004,21,19
Texas,2004,78,63
Florida,2004,79,31
Oklahoma,2004,28,4
Indiana,2004,21,16
Oregon,2004,9,5
Ohio,2004,28,17
Pennsylvania,2004,52,24
California,2004,153,115
Maryland,2004,27,31
Missouri,2004,27,11
Kansas,2004,5,4
Michigan,2004,35,17
Connecticut,2004,6,4
Mississippi,2004,9,7
North Carolina,2004,37,14
Colorado,2004,18,9
New Mexico,2004,12,5
Washington,2004,15,7
New Jersey,2004,33,17
Virginia,2004,21,14
Illinois,2004,21,24
Alabama,2004,15,9
Arizona,2004,32,13
Louisiana,2004,42,17
District of Columbia,2004,9,10
South Carolina,2004,16,6
New York,2004,46,46
Kentucky,2004,10,7
Tennessee,2004,30,5
Massachusetts,2004,9,8
Wisconsin,2004,9,2
Minnesota,2004,16,2
West Virginia,2004,8,2
Nevada,2004,6,6
Arkansas,2004,9,4
Utah,2004,4,0
Alaska,2004,4,1
Delaware,2004,2,0
Idaho,2004,1,2
Montana,2004,3,0
Maine,2004,1,0
Vermont,2004,2,1
Rhodes Island,2004,2,1
North Dakota,2004,1,0
Nebraska,2004,1,0
South Dakota,2004,2,0
New Hampshire,2004,1,0
Hawaii,2004,1,0
North Carolina,2005,46,21
Texas,2005,122,38
Idaho,2005,5,0
Louisiana,2005,30,19
Florida,2005,56,32
Georgia,2005,31,25
Illinois,2005,27,24
California,2005,133,127
New Jersey,2005,14,20
Massachusetts,2005,10,5
Michigan,2005,39,34
Maryland,2005,18,29
Virginia,2005,26,13
Washington,2005,18,6
Arizona,2005,39,17
New York,2005,43,40
Missouri,2005,21,17
Ohio,2005,37,28
Alabama,2005,18,6
Colorado,2005,10,5
Tennessee,2005,33,15
South Carolina,2005,25,6
District of Columbia,2005,15,7
Pennsylvania,2005,45,21
Nevada,2005,13,5
South Dakota,2005,3,0
Mississippi,2005,16,4
Oklahoma,2005,23,6
Minnesota,2005,12,3
Connecticut,2005,9,5
Utah,2005,6,1
Indiana,2005,21,15
Wisconsin,2005,14,6
Iowa,2005,7,0
West Virginia,2005,6,3
New Mexico,2005,8,4
Kentucky,2005,5,10
Kansas,2005,8,4
Montana,2005,4,0
Arkansas,2005,11,4
Delaware,2005,3,1
Wyoming,2005,3,0
Rhodes Island,2005,2,3
Oregon,2005,2,3
New Hampshire,2005,2,0
Alaska,2005,1,1
Maine,2005,3,0
North Dakota,2005,1,0
Hawaii,2005,0,1
Vermont,2005,1,0
New Mexico,2006,10,5
Georgia,2006,35,25
California,2006,134,139
Pennsylvania,2006,63,23
Ohio,2006,29,26
Texas,2006,97,43
